TotalTime;Phase;PhaseTime;Vel;Acc
245;Phase 1;245;21.100288;0.134112
246;Phase 1;246;21.2344;0.178816
247;Phase 1;247;21.413216;0.044704
248;Phase 1;248;21.45792;0
249;Phase 1;249;21.45792;0
250;Phase 1;250;21.45792;0
251;Phase 1;251;21.45792;0
252;Phase 1;252;21.45792;0.044704
253;Phase 1;253;21.502624;0.044704
254;Phase 1;254;21.547328;0
255;Phase 1;255;21.547328;-0.044704
256;Phase 1;256;21.502624;0.22352
257;Phase 1;257;21.726144;0.134112
258;Phase 1;258;21.860256;0.089408
259;Phase 1;259;21.949664;0
260;Phase 1;260;21.949664;0
261;Phase 1;261;21.949664;0
262;Phase 1;262;21.949664;0
263;Phase 1;263;21.949664;-0.044704
264;Phase 1;264;21.90496;-0.044704
265;Phase 1;265;21.860256;-0.312928
266;Phase 1;266;21.547328;-0.22352
267;Phase 1;267;21.323808;-0.089408
268;Phase 1;268;21.2344;-0.134112
269;Phase 1;269;21.100288;-0.22352
270;Phase 1;270;20.876768;-0.22352
271;Phase 1;271;20.653248;-0.089408
272;Phase 1;272;20.56384;-0.089408
273;Phase 1;273;20.474432;-0.089408
274;Phase 1;274;20.385024;-0.089408
275;Phase 1;275;20.295616;-0.089408
276;Phase 1;276;20.206208;-0.089408
277;Phase 1;277;20.1168;-0.134112
278;Phase 1;278;19.982688;-0.089408
279;Phase 1;279;19.89328;-0.134112
280;Phase 1;280;19.759168;-0.312928
281;Phase 1;281;19.44624;-0.312928
282;Phase 1;282;19.133312;-0.357632
283;Phase 1;283;18.77568;-0.849376
284;Phase 1;284;17.926304;-0.67056
285;Phase 1;285;17.255744;-0.491744
286;Phase 1;286;16.764;-0.759968
287;Phase 1;287;16.004032;-0.491744
288;Phase 1;288;15.512288;-0.312928
289;Phase 1;289;15.19936;-0.312928
290;Phase 1;290;14.886432;-0.357632
291;Phase 1;291;14.5288;-0.357632
292;Phase 1;292;14.171168;-0.491744
293;Phase 1;293;13.679424;-0.44704
294;Phase 1;294;13.232384;-0.357632
295;Phase 1;295;12.874752;-0.178816
296;Phase 1;296;12.695936;0.089408
297;Phase 1;297;12.785344;0.402336
298;Phase 1;298;13.18768;0.849376
299;Phase 1;299;14.037056;0.89408
300;Phase 1;300;14.931136;0.983488
301;Phase 1;301;15.914624;0.849376
302;Phase 1;302;16.764;0.715264
303;Phase 1;303;17.479264;0.491744
304;Phase 1;304;17.971008;0.402336
305;Phase 1;305;18.373344;0.312928
306;Phase 1;306;18.686272;0.268224
307;Phase 1;307;18.954496;0.178816
308;Phase 1;308;19.133312;0.22352
309;Phase 1;309;19.356832;0.22352
310;Phase 1;310;19.580352;0.22352
311;Phase 1;311;19.803872;0.178816
312;Phase 1;312;19.982688;0.134112
313;Phase 1;313;20.1168;0.089408
314;Phase 1;314;20.206208;0.089408
315;Phase 1;315;20.295616;0.044704
316;Phase 1;316;20.34032;0.134112
317;Phase 1;317;20.474432;0.089408
318;Phase 1;318;20.56384;0.044704
319;Phase 1;319;20.608544;0.178816
320;Phase 1;320;20.78736;0.134112
321;Phase 1;321;20.921472;0.134112
322;Phase 1;322;21.055584;0.268224
323;Phase 1;323;21.323808;0.268224
324;Phase 1;324;21.592032;0.312928
325;Phase 1;325;21.90496;0.312928
326;Phase 1;326;22.217888;0.268224
327;Phase 1;327;22.486112;0.312928
328;Phase 1;328;22.79904;0.312928
329;Phase 1;329;23.111968;0.312928
330;Phase 1;330;23.424896;0.312928
331;Phase 1;331;23.737824;0.312928
332;Phase 1;332;24.050752;0.312928
333;Phase 1;333;24.36368;0.312928
334;Phase 1;334;24.676608;0.268224
335;Phase 1;335;24.944832;0.268224
336;Phase 1;336;25.213056;0.22352
337;Phase 1;337;25.436576;0.044704
338;Phase 1;338;25.48128;0.044704
339;Phase 1;339;25.525984;0.089408
340;Phase 1;340;25.615392;0.134112
341;Phase 1;341;25.749504;0.089408
342;Phase 1;342;25.838912;0.089408
343;Phase 1;343;25.92832;0.044704
344;Phase 1;344;25.973024;0.134112
345;Phase 1;345;26.107136;0.134112
346;Phase 1;346;26.241248;0.044704
347;Phase 1;347;26.285952;0.044704
348;Phase 1;348;26.330656;0.044704
349;Phase 1;349;26.37536;0
350;Phase 1;350;26.37536;-0.044704
351;Phase 1;351;26.330656;-0.044704
352;Phase 1;352;26.285952;-0.089408
353;Phase 1;353;26.196544;-0.089408
354;Phase 1;354;26.107136;-0.089408
355;Phase 1;355;26.017728;-0.044704
356;Phase 1;356;25.973024;-0.044704
357;Phase 1;357;25.92832;-0.044704
358;Phase 1;358;25.883616;-0.134112
359;Phase 1;359;25.749504;-0.089408
360;Phase 1;360;25.660096;-0.089408
361;Phase 1;361;25.570688;-0.044704
362;Phase 1;362;25.525984;-0.044704
363;Phase 1;363;25.48128;0
364;Phase 1;364;25.48128;-0.044704
365;Phase 1;365;25.436576;0
366;Phase 1;366;25.436576;0
367;Phase 1;367;25.436576;0.044704
368;Phase 1;368;25.48128;0
369;Phase 1;369;25.48128;0
370;Phase 1;370;25.48128;0
371;Phase 1;371;25.48128;0
372;Phase 1;372;25.48128;0
373;Phase 1;373;25.48128;0
374;Phase 1;374;25.48128;0
375;Phase 1;375;25.48128;0
376;Phase 1;376;25.48128;-0.044704
377;Phase 1;377;25.436576;-0.044704
378;Phase 1;378;25.391872;-0.134112
379;Phase 1;379;25.25776;-0.134112
380;Phase 1;380;25.123648;-0.089408
381;Phase 1;381;25.03424;0
